,,Item,,Description,,Type,,Cost,,Price,,Sales Tax Code,,Purchase Tax Code,,Quantity On Hand,,Quantity On Sales Order,,Reorder Pt (Min),,Quantity On Purchase Order,,U/M Set,,U/M,,Preferred Vendor
,,CON-187661,,CONVATEC DUODERM CGF STERILE DRESSING 6x6 5/BX,,Inventory Part,,19.19,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CON-187955,,CONVATEC DUODERM CGF EXTRA THIN DRESSING 4x4 10/BX,,Inventory Part,,14.39,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CON-22771,,CONVATEC ACTIVE LIFE STOMAHESIVE 1PC POUCH 19-64MM 10/BX,,Inventory Part,,18.85,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CON-413155,,CONVATEC SUR-FIT NATURA DURAHESIVE CUTTOFIT 1-3/4' 45M 10/BX,,Inventory Part,,28.04,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CON-420671,,CONVATEC AQUACEL EXTRA HYDROFIBER 5X5 10/BX,,Inventory Part,,11.75,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CON-420676,,CONVATEC AQUACEL AG EXTRA DRESSING HYDROFIBER 10X10 CM,,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CON-420680,,CONVATEC AQUACEL FOAM DRESSING 4X4 10/BX,,Inventory Part,,18.46,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,COV-8881400058,,COVIDIEN MONOJECT NEEDLE 27 LONG PLASTIC,,Inventory Part,,7.73,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,COV-8881400074,,COVIDIEN MONOJECT NEEDLE 30 SHORT PLASTIC,,Inventory Part,,7.73,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,COV-8881401056,,COVIDIEN MONOJECT NEEDLE 27 LONG METAL,,Inventory Part,,8.03,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,COV-8881401072,,COVIDIEN MONOJECT NEEDLE 30 SHORT METAL,,Inventory Part,,8.03,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,COV-8881412012,,COVIDIEN MONOJECT SYRINGE 412 CURVED TIP DISPOSABLE 12ML,,Inventory Part,,7.60,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,COV-8881450004,,COVIDIEN MONOJECT SALIVA EJECTOR 450 250/BX,,Inventory Part,,13.77,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,COV-8881471232,,COVIDIEN MONOJECT NEEDLES ENDO IRRIGATION 23 GAUGE 25 /BX,,Inventory Part,,5.64,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,COV-8881511110,,COVIDIEN MONOJECT SYRINGE INSULINE SAFETY W NEEDLE 1ML 29G,,Inventory Part,,8.21,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,COV-8881513843(E),,COVIDIEN MONOJECT SYRINGE W/ HYPO NEEDLE 23 GAUGE,,Inventory Part,,12.53,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,COV-8881513843(EU),,COVIDIEN MONOJECT SYRINGE ENDO IRRIGATION 23 GAUGE,,Inventory Part,,13.73,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,COV-8881513850(E),,COVIDIEN MONOJECT SYRINGE ENDO IRRIGATION 27 GAUGE,,Inventory Part,,13.73,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CRA-CR3226,,CRANBERRY GLOVES CONTOUR PLUS NITRILE PF SMALL,,Inventory Part,,3.40,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,CRA-CR3227,,CRANBERRY GLOVES CONTOUR PLUS NITRILE PF MEDIUM,,Inventory Part,,3.40,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,CRA-CR3336,,CRANBERRY GLOVES LUV NITRILE PF SMALL,,Inventory Part,,6.44,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,CRA-CR3446,,CRANBERRY GLOVES AQUA SOURCE NITRILE PF SMALL,,Inventory Part,,6.33,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CRA-CR7815,,CRANBERRY GLOVES SILKCARE LATEX PF EXTRA SMALL,,Inventory Part,,3.42,,0.01,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,CRA-CR7816,,CRANBERRY GLOVES SILKCARE LATEX PF  SMALL,,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CRA-CR7817,,CRANBERRY GLOVES SILKCARE LATEX PF  MEDIUM,,Inventory Part,,3.43,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-250007AA,,COLTENE-WHALEDENT DIATECH SHAPENING & FINISHING KIT         ..,,Inventory Part,,26.50,,0.94,,Non,,H,,0.00,,0.00,,,,0.00,,ea,,each (ea),,MainlineMD
,,CWH-4970,,COLTENE-WHALEDENT SPEEDEX PUTTY C  SILICONE 910 ML,,Inventory Part,,10.38,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-60019803,,COLTENE-WHALEDENT DIATECH AESTHETIC DENT BUR KIT            ..,,Inventory Part,,36.65,,1.30,,Non,,H,,0.00,,0.00,,,,0.00,,ea,,each (ea),,MainlineMD
,,CWH-H00750,,COLTENE-WHALEDENT DAM 6X6 NON-LATEX PURPLE 20/PK,,Inventory Part,,32.05,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-H00805,,COLTENE-WHALEDENT WAX BASEPLATE RED 1LB/BX,,Inventory Part,,9.51,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-H00806,,COLTENE-WHALEDENT WAX BASEPLATE PINK MED SOFT #3 1LB,,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-H00815,,COLTENE-WHALEDENT WAXBOXING RED REG,,Inventory Part,,17.37,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-H00818,,COLTENE-WHALEDENT WAX UTILITY STRIPS WHITE 80/BX,,Inventory Part,,7.64,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-H00819,,COLTENE-WHALEDENT WAX SQUARE ROPES RED 44/BX,,Inventory Part,,7.59,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-H00820,,COLTENE-WHALEDENT WAX SQUARE ROPES WHITE 44/BX,,Inventory Part,,7.54,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-H00825,,COLTENE-WHALEDENT WAX BITE WAFERS LIGHT BLUE,,Inventory Part,,9.58,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-H00827,,COLTENE-WHALEDENT WAX STICKS ORTHODONTIC TRAY,,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-H00839,,COLTENE-WHALEDENT WAX BITE WAFERS LEMON YELLOW,,Inventory Part,,10.27,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-H01223,,COLTENE-WHALEDENT GUTTA PERCHA POINTS MED/FINE 20VL,,Inventory Part,,5.48,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-H01415,,COLTENE-WHALEDENT RUBBER DAM NAPKINS FRAME SIZE 5&6',,Inventory Part,,8.83,,0.01,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,CWH-H02146,,COLTENE-WHALEDENT DAM 6X6 GREEN THIN RUBBER,,Inventory Part,,8.09,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-H02147,,COLTENE-WHALEDENT DAM 6X6 GREEN MEDIUM RUBBER,,Inventory Part,,8.76,,0.46,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,CWH-H04642,,COLTENE-WHALEDENT DAM 6X6 FIESTA MEDIUM RUBBER,,Inventory Part,,6.83,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-H05032,,COLTENE-WHALEDENT ENDO ICE SPRAY,,Inventory Part,,8.08,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,CWH-H05690,,COLTENE-WHALEDENT GLOSS FINISH WINGED CLAMP #14,,Inventory Part,,4.54,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-H09105,,COLTENE-WHALEDENT DAM 6X6 NON-LATEX,,Inventory Part,,16.71,,0.00,,Non,,Non,,0.00,,4.00,,,,0.00,,ea,,each (ea),,
,,CWH-H09928,,COLTENE-WHALEDENT DAM 5X5 GREEN NON-LATEX,,Inventory Part,,13.56,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-H09945,,COLTENE-WHALEDENT DAM 6X6 FLEXI NON-LATEX,,Inventory Part,,22.28,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,CWH-H09946,,COLTENE-WHALEDENT DAM 6X6 FLEXI NON-LATEX GREEN,,Inventory Part,,22.08,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,CWH-L-721,,COLTENE WHALEDENT TMS LINK PLUS SS SINGLE KIT,,Inventory Part,,56.19,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-P-244-3,,COLTENE WHALEDENT PARAPOST PLUS SS #3 (10/PK),,Inventory Part,,41.32,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-P-244-4,,COLTENE WHALEDENT PARAPOST PLUS SS #4 (10/PK),,Inventory Part,,41.32,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-P-244-5.5,,COLTENE WHALEDENT PARAPOST PLUS SS #5.5 (10/PK),,Inventory Part,,41.14,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-P-42-3,,COLTENE WHALEDENT PARAPOST DRILL #3 (3/PK),,Inventory Part,,23.23,,0.73,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,CWH-P-42-4,,COLTENE WHALEDENT PARAPOST DRILL #4 (3/PK),,Inventory Part,,23.23,,0.66,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,CWH-P-42-4.5,,COLTENE WHALEDENT PARAPOST DRILL #4.5 (3/PK),,Inventory Part,,23.23,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,CWH-P-42-5,,COLTENE WHALEDENT PARAPOST DRILL #5 (3/PK),,Inventory Part,,22.82,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-P-44-3,,COLTENE WHALEDENT PARAPOST SS #3 (10/PK),,Inventory Part,,43.58,,4.47,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,CWH-P-44-4,,COLTENE WHALEDENT PARAPOST SS #4 (10/PK),,Inventory Part,,43.58,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-P-44-4.5,,COLTENE WHALEDENT PARAPOST SS #4.5 (10/PK),,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-P-44-5,,COLTENE WHALEDENT PARAPOST SS #5 (10/PK),,Inventory Part,,41.13,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-P-683-0,,COLTENE WHALEDENT PARAPOST XT #3 (10/PK),,Inventory Part,,44.53,,0.00,,Non,,Non,,0.00,,2.00,,,,0.00,,ea,,each (ea),,
,,CWH-P-684-0,,COLTENE WHALEDENT PARAPOST XT #4 (10/PK),,Inventory Part,,48.32,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-P-684-5,,COLTENE WHALEDENT PARAPOST XT #4.5 (10/PK),,Inventory Part,,46.82,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-P-685-0,,COLTENE WHALEDENT PARAPOST XT #5 (10/PK),,Inventory Part,,46.17,,1.64,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,CWH-P-88-3,,COLTENE WHALEDENT PARAPOST XH TITANIUM #3 (10/PK),,Inventory Part,,48.73,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-P-88-4,,COLTENE WHALEDENT PARAPOST XH TITANIUM #4 (10/PK),,Inventory Part,,48.75,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-P-88-5,,COLTENE WHALEDENT PARAPOST XH TITANIUM #5 (10/PK),,Inventory Part,,48.75,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-PF-161-4.5,,COLTENE WHALEDENT PARAPOST FIBER WHITE #4.5 (5/PK),,Inventory Part,,26.33,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-PF-161-5,,COLTENE WHALEDENT PARAPOST FIBER WHITE #5 (5/PK),,Inventory Part,,26.35,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-PF-171-3,,COLTENE WHALEDENT PARAPOST FIBER LUX WHITE #3 (5/PK),,Inventory Part,,26.85,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-PF-171-4,,COLTENE WHALEDENT PARAPOST FIBER LUX YELLOW #4 (5/PK),,Inventory Part,,27.38,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-PF-171-4.5,,COLTENE WHALEDENT PARAPOST FIBER LUX BLUE #4.5 (5/PK),,Inventory Part,,24.48,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-PF-171-5,,COLTENE WHALEDENT PARAPOST FIBER LUX RED #5 (5/PK),,Inventory Part,,27.38,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-PF-171-5.5,,COLTENE WHALEDENT PARAPOST FIBER LUX PURPLE #5.5 (5/PK),,Inventory Part,,24.48,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-PF-171-6,,COLTENE WHALEDENT PARAPOST FIBER LUX BLACK #6 (5/PK),,Inventory Part,,24.48,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-PF-180,,COLTENE WHALEDENT PARAPOST TAPER  LUX INTRO KIT,,Inventory Part,,111.03,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,CWH-PF-181-4.5,,COLTENE WHALEDENT PARAPOST TAPER LUX WHITE #4.5 (5/PK),,Inventory Part,,24.48,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-UC-30,,COLTENE WHALEDENT BIOSONIC GENERAL PURPOSE CLEANER,,Inventory Part,,13.95,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-UC-32,,COLTENE WHALEDENT BIOSONIC ENZYMATIC CLEANER,,Inventory Part,,14.08,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,CWH-UC-38,,COLTENE WHALEDENT BIOSONIC DISINFECTANT CLEANER,,Inventory Part,,13.35,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DAN-15201,,DANVILLE ALUMINUM OXIDE 90 MICRON BOTTLE TAN 1LB,,Inventory Part,,6.35,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DAN-15301,,DANVILLE ALUMINUM OXIDE 50 MICRON BOTTLE WHITE 1LB,,Inventory Part,,6.10,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DAN-21000-03,,DANVILLE MICROETCHER ERC MICRO SANDBLASTER W/ TIP,,Inventory Part,,107.69,,0.95,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,DAN-85051,,DANVILLE STARTFLOW SYRINGE 5 GM A1,,Inventory Part,,19.49,,0.17,,Non,,Non,,0.00,,3.00,,,,0.00,,ea,,each (ea),,
,,DAN-85052,,DANVILLE STARTFLOW SYRINGE 5 GM A2,,Inventory Part,,19.49,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,DAN-87001,,DANVILLE MICROPRIME B DESENSITIZER BOTTLE 10ML,,Inventory Part,,25.40,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DAN-89432,,DANVILLE THIN FLEX MATRICES SMALL 100/PK,,Inventory Part,,19.05,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DAN-89434,,DANVILLE THIN FLEX MATRICES LARGE 100/PK,,Inventory Part,,18.30,,0.08,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,DAN-90157,,DANVILLE TURBO TEMP 2 CROWN & BRIDGE MATERIAL 76GM A2       ..,,Inventory Part,,53.33,,53.33,,Non,,H,,0.00,,0.00,,,,0.00,,ea,,each (ea),,MainlineMD
,,DAN-90471,,DANVILLE STARTFLOW SYRINGE 5 GM B1,,Inventory Part,,19.50,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DAN-90814,,DANVILLE MICROPRIME G DESENSITIZING AGENT 35%,,Inventory Part,,28.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DAN-91024,,DANVILLE PRELUDE SELF-ETCH REFILL 5ML,,Inventory Part,,51.28,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,DAN-91074,,DANVILLE ULTRA THIN FLEX MATRICES LARGE 100/PK,,Inventory Part,,22.23,,0.01,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,DAN-91139,,DANVILLE ULTRA THIN FLEX MATRICES SMALL 100/PK,,Inventory Part,,23.23,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DAN-92964,,DANVILLE TURBO TEMP 2 CROWN & BRIDGE MATERIAL 76GM A3,,Inventory Part,,52.86,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DAN-93324,,DANVILLE TURBO TEMP 3 CROWN & BRIDGE MATERIAL 76GM A2       ..,,Inventory Part,,53.33,,53.33,,Non,,H,,0.00,,0.00,,,,0.00,,ea,,each (ea),,MainlineMD
,,DEN-122210,,DENTSPLY SANI-TIP 250/BAG,,Inventory Part,,39.74,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,DEN-122210(E),,DENTSPLY SANI-TIP 250/BAG,,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-122215,,DENTSPLY SANI-TIP BULK REFILL 1500/BX,,Inventory Part,,237.01,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-122215-250,,DENTSPLY SANI-TIP 250/BX  TIPS ONLY,,Inventory Part,,39.50,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-226180,,DENTSPLY EZ-VIEW GREEN MASKED  8H 6V 4BW,,Inventory Part,,51.12,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-540293,,DENTSPLY SNAP A RAY FILM HOLDER 1/PK                        ..,,Inventory Part,,6.85,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,MainlineMD
,,DEN-540858,,DENTSPLY XPC POSTERIOR YELLOW PINS STAINLESS STEEL ARM,,Inventory Part,,22.49,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-540860,,DENTSPLY XPC POSTERIOR YELLOW AIMING RING,,Inventory Part,,5.47,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-540927,,DENTSPLY XPC BITEWING RED PINS STAINLESS STEEL ARM,,Inventory Part,,22.50,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-540934,,DENTSPLY XPC BITEWING RED AIMING RING,,Inventory Part,,5.46,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-550294,,RINN EEZEE GRIP DIGITAL SENSOR HOLSTER,,Inventory Part,,46.07,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,MainlineMD
,,DEN-550773,,DENTSPLY XCP ORA RING                                       ..,,Inventory Part,,28.22,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,MainlineMD
,,DEN-550774,,DENTSPLY XCP ORA ARM                                        ..,,Inventory Part,,46.07,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,MainlineMD
,,DEN-605602,,DENTSPLY JELTRATE-PLUS FAST-SET,,Inventory Part,,8.22,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,DEN-60578320,,DENTSPLY AQUASIL SOFT PUTTY REGULAR SET 2 X 450ML,,Inventory Part,,44.67,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-608522,,DENTSPLY JELTRATE FAST-SET,,Inventory Part,,8.05,,0.00,,Non,,Non,,0.00,,2.00,,,,0.00,,ea,,each (ea),,
,,DEN-609001,,DENTSPLY FYNAL CEMENT PACKAGE,,Inventory Part,,46.66,,0.00,,Non,,Non,,0.00,,1.00,,,,0.00,,ea,,each (ea),,
,,DEN-610007,,DENTSPLY IRM IVORY COMPLETE-KIT,,Inventory Part,,22.48,,1.32,,Non,,Non,,0.00,,0.00,,,,13.00,,ea,,each (ea),,
,,DEN-610103,,DENTSPLY ZOE B&T,,Inventory Part,,45.08,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-610200,,DENTSPLY IRM CAPS 50/PK,,Inventory Part,,55.04,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,DEN-61605002,,DENTSPLY VISCO-GEL BOTTLE STANDARD PACK,,Inventory Part,,47.26,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-619500,,DENTSPLY REGISIL 2X CARTRIDGE,,Inventory Part,,56.68,,2.25,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,DEN-61C101P,,DENTSPLY SUREFIL SDR FLOW + COMPULA REFILL UNIVERSAL,,Inventory Part,,45.88,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,MainlineMD
,,DEN-624045X,,DENTSPLY ENHANCE FINISHING REFILL DISCS (30/BX),,Inventory Part,,31.28,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-624055X,,DENTSPLY ENHANCE FINISHING REFILL CUPS (30/BX),,Inventory Part,,34.42,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-626155,,DENTSPLY TRAY ADHESIVE,,Inventory Part,,13.11,,0.01,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,DEN-626210,,DENTSPLY REPROSIL CARTRIDGE REG. BODY,,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-626220,,DENTSPLY REPROSIL CARTRIDGE HEAVY BODY,,Inventory Part,,68.57,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-626600,,DENTSPLY REPROSIL CARTRIDGE LIGHT BODY,,Inventory Part,,0.00,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-630617,,DENTSPLY ESTHET-X HD COMPULES A1 (20/BX),,Inventory Part,,41.82,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-630618,,DENTSPLY ESTHET-X HD COMPULES A2 (20/BX),,Inventory Part,,41.82,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-630619,,DENTSPLY ESTHET-X HD COMPULES A3 (20/BX),,Inventory Part,,44.80,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-631400,,DENTSPLY PRISMA GLOSS PASTE FINE,,Inventory Part,,31.06,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-634352-6,,DENTSPLY PRIME & BOND NT REFILL KIT,,Inventory Part,,105.29,,0.00,,Non,,Non,,0.00,,0.00,,,,1.00,,ea,,each (ea),,
,,DEN-648021,,DENTSPLY ESTHET-X FLOW SYRINGE REFILL A2 2/PK,,Inventory Part,,19.79,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-656-2891,,DENTSPLY DISPERSALLOY 1 SPILL REGULAR SET 50/BX,,Inventory Part,,41.03,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-659010,,DENTSPLY PALODENT MATRIX REFILL STANDARD 100/PK,,Inventory Part,,32.52,,0.00,,Non,,Non,,0.00,,0.00,,,,2.00,,ea,,each (ea),,
,,DEN-659020,,DENTSPLY PALODENT MATRIX REFILL MINI 50/PK,,Inventory Part,,21.68,,0.69,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,DEN-659720V,,DENTSPLY PALODENT V3 MATRICE REFILL 4.5MM 50/PK,,Inventory Part,,35.50,,0.00,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,DEN-659730V,,DENTSPLY PALODENT V3 MATRICE REFILL 5.5MM 50/PK,,Inventory Part,,37.97,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-659740V,,DENTSPLY PALODENT V3 MATRICE REFILL 5.5MM 100/PK,,Inventory Part,,62.83,,0.09,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,DEN-659790V,,DENTSPLY PALODENT V3 WEDGE REFILL MEDIUM 100/PK,,Inventory Part,,38.43,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
,,DEN-66002861,,DENTSPLY DISPERSALLOY 1 SPILL FAST SET,,Inventory Part,,41.10,,5.95,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,DEN-66002862,,DENTSPLY DISPERSALLOY 2 SPILL FAST SET,,Inventory Part,,45.31,,0.16,,Non,,Non,,0.00,,0.00,,,,0.00,,ea,,each (ea),,
,,DEN-66002891,,DENTSPLY DISPERSALLOY 1 SPILL REGULAR SET,,Inventory Part,,36.28,,0.00,,Non,,Non,,0.00,,,,,,0.00,,ea,,each (ea),,
